Test_ID,Country,Transaction_Date,Transaction_Time
1,IN,18-06-2026,14:30:45
2,US,06/18/2026,02:30:45 PM
3,UK,18/06/2026,23:59:59
4,SG,2026-06-18,00:00:00
5,IN,1-6-2026,2:5:9
6,US,6/1/2026,02:30 PM
7,SG,2026-06-18T14:30:45Z,
8,SG,2026-06-18,14:30
9,UK,18/06/2026,14:30:45.123
10,IN,29-02-2024,12:00:00
11,IN,29-02-2023,12:00:00
12,US,02/29/2024,11:59 PM
13,US,02/29/2023,11:59 PM
14,SG,2024-02-29,23:59:59
15,SG,2023-02-29,23:59:59
16,IN,31-04-2026,10:10:10
17,US,04/31/2026,10:10:10
18,SG,2026-04-31,10:10:10
19,UK,18/06/2026,24:00:00
20,UK,18/06/2026,25:30:45
21,IN,18-06-2026,14:61:45
22,US,06/18/2026,11:30:60
23,SG,2026-06-18,99:99:99
24,IN,18-06-2026,14-30-45
25,US,06/18/2026,abc
26,SG,2026-06-18,
27,UK,18/06/2026,
28,IN,,14:30:45
29,US,,02:30 PM
30,SG,,23:59:59
31,IN,20260618,14:30:45
32,US,"Thu, 18 Jun 2026",02:30 PM
33,SG,2026/06/18,14:30:45
34,UK,18 Jun 2026,14:30:45
35,IN,June 18 2026,14:30:45
36,US,2026-06-18T14:30:45+05:30,
37,SG,2026-06-18T14:30:45.123Z,
38,IN,18-06-2026,12:00 AM
39,IN,18-06-2026,12:00 PM
40,IN,18-06-2026,11:59 PM
41,IN,18-06-2026,00:00
42,IN,18-06-2026,23:59
43,IN,18-06-2026,7:8:9
44,IN,18-06-2026,07:08:09
45,IN,18-06-2026,07:08:09.999
46,IN,18-06-2026,07:08:09.999999
47,IN,31-13-2026,14:30:45
48,US,13/31/2026,14:30:45
49,SG,2026-00-18,14:30:45
50,UK,18/00/2026,14:30:45
51,IN,32-01-2026,14:30:45
52,US,01/32/2026,14:30:45
53,SG,2026-06-18,60:00:00
54,IN,18-06-2026,-1:30:45
55,US,06/18/2026,14:30:99
56,SG,2026-06-18,14:99:45
57,UK,18/06/2026,999999
58,IN,18-06-2026,
59,US,,02:30 PM
60,SG,garbage,garbage
